variant,frame,fr_source,horizon,n_obs,alpha,beta,beta_se_nw,t_nw,t_hh,pvalue_nw,r2_in,r2_oos,cw_stat,cw_pvalue,p_neg,p_neg_ci_lo,p_neg_ci_hi,p_below_5pct,rho_ar1,beta_stambaugh
bi_allequity_pct,current_regime,primary,h_60m,789,0.10762447003723459,-0.020774015270672186,0.011159060406647287,-1.8616276383177757,-1.5617760534910856,0.0630281839311625,0.12165313956562174,0.1611499989792129,7.209343597361272,2.8110846983508964e-13,0.2088607594936709,0.14556962025316456,0.27848101265822783,0.3670886075949367,0.9344434798355113,-0.02069156497361637
bi_allequity_pct,current_regime,primary,h_120m,729,0.10446671069330495,-0.018941222030273392,0.008858059731479509,-2.1383037148598856,-2.133973682102585,0.03282483021914091,0.2129627098281468,0.32383566970210664,8.018867859581377,5.551115123125783e-16,0.0,0.0,0.0,0.0896551724137931,0.9367778800836835,-0.01887895905086229
bi_allequity_pct,current_regime,robustness_spxtr_only,h_60m,401,0.11299717629487324,-0.03853383747434884,0.010063732139178013,-3.8289808334958537,-3.904366870060406,0.00014936618343233728,0.25434725005381575,-0.15360833648416206,0.27965280965873945,0.3898719433148663,0.4125,0.30593750000000003,0.5125,0.6375,0.9565322563264226,-0.03825211877943943
bi_allequity_pct,current_regime,robustness_spxtr_only,h_120m,341,0.10450529249582845,-0.03471131966905211,0.005486962660987263,-6.326144683989255,-7.2326569736790685,7.945433668347122e-10,0.5014022279549025,-0.6513773567560315,-0.4041150288531278,0.6569359330580684,0.0,0.0,0.0,0.029411764705882353,0.963648853721579,-0.03445487857546769
bi_allequity_pct,current_regime,robustness_shiller_only,h_60m,788,0.06915073362628588,-0.01848358136886461,0.011228092532594238,-1.646190687795659,-1.4471096086804038,0.10012426343171053,0.08519949237083702,0.13151053227438791,7.590387396834921,1.5987211554602254e-14,0.4240506329113924,0.34477848101265823,0.4936708860759494,0.6455696202531646,0.9343820258644063,-0.01840083412757434
bi_allequity_pct,current_regime,robustness_shiller_only,h_120m,728,0.06525171510121859,-0.017129740145494714,0.009443792542521022,-1.8138623935635425,-1.8391789975005175,0.07011162488727556,0.1471061092833459,0.2716287968246085,9.21751100531325,0.0,0.10273972602739725,0.0547945205479452,0.1506849315068493,0.2191780821917808,0.9367749439360334,-0.017070985884657653
bi_wilshire_pct,long_run,primary,h_12m,595,0.1304898868188989,-0.03297200968300827,0.01889961863063156,-1.7445859796117198,-1.4131482502617962,0.08157503426126678,0.040521633326196405,0.062220353094153635,4.2131074409606555,1.2594058634074479e-05,0.2689075630252101,0.19327731092436976,0.3445378151260504,0.31092436974789917,0.9778666454181698,-0.03268058039652442
bi_wilshire_pct,long_run,primary,h_36m,571,0.12067030899552493,-0.035116586522429535,0.016823864121992327,-2.087308020784879,-2.121914386446965,0.037304643769366444,0.1425471495188817,0.19524706896886002,6.579934877200868,2.3532731319164668e-11,0.14912280701754385,0.08771929824561403,0.21052631578947367,0.21052631578947367,0.9768131911158132,-0.034960817163505596
bi_wilshire_pct,long_run,primary,h_60m,547,0.11758488721359628,-0.03964764918686988,0.008719954799051426,-4.546772328588542,-4.790317585418583,6.717159205136916e-06,0.2918339874674569,0.33253605626587845,7.369259592553025,8.58202398035246e-14,0.3,0.21818181818181817,0.38181818181818183,0.4636363636363636,0.9800694972525391,-0.03948617009138636
bi_wilshire_pct,long_run,primary,h_120m,487,0.11079171069433501,-0.038732647263855155,0.004792101633803577,-8.082601376947917,,5.090551273275275e-15,0.6009525121104461,0.6413370184075403,9.268751198739727,0.0,0.0,0.0,0.0,0.0,0.9798362231960506,-0.03857560635162538
bi_wilshire_pct,long_run,robustness_spxtr_only,h_60m,401,0.11721404646264817,-0.03861253366372051,0.009290841567206545,-4.155978054777017,-4.273860177363144,3.9658585984930005e-05,0.2498017826942981,-0.14855259843593838,2.8874279003190417,0.0019420280600541684,0.4125,0.3,0.525,0.6125,0.9786673844602477,-0.03840047620315962
bi_wilshire_pct,long_run,robustness_spxtr_only,h_120m,341,0.10610339046066952,-0.03671086434547576,0.005486729655764767,-6.6908462141750675,,9.18787938473051e-11,0.5409438515039995,-0.19312868905406444,5.445859304015083,2.57779387835555e-08,0.0,0.0,0.0,0.0,0.9802961032014991,-0.03647639941357434
bi_wilshire_pct,long_run,robustness_shiller_only,h_60m,546,0.08173017881734888,-0.03346633728484389,0.010248781844889702,-3.2653965896962713,-3.4180466785504198,0.0011618962246715378,0.21135417883079954,0.35482842581482044,8.45095785314522,0.0,0.43119266055045874,0.34380733944954134,0.5229357798165137,0.5229357798165137,0.979998611192804,-0.033235723367179594
bi_wilshire_pct,long_run,robustness_shiller_only,h_120m,486,0.07881391947007559,-0.03428302239561693,0.004389029646842816,-7.811071046256869,,3.549064405911886e-14,0.5719460861019716,0.6639930874765189,9.599479525138165,0.0,0.0,0.0,0.0,0.09278350515463918,0.9798332294357691,-0.03410039478661216
bi_wilshire_pct,current_regime,primary,h_12m,595,0.1266089089843946,-0.05696663178691025,0.01383058181002321,-4.118889036585992,-3.557989398975833,4.3481268127848096e-05,0.13783385929864023,0.07889709196203165,4.03429404971679,2.7383350290621777e-05,0.226890756302521,0.15126050420168066,0.3025210084033613,0.3277310924369748,0.9345874960992208,-0.05672415592370504
bi_wilshire_pct,current_regime,primary,h_36m,571,0.11802462414059033,-0.04810747866420867,0.01117626868687095,-4.304431113106807,-6.110854998676826,1.971234044000798e-05,0.3162495479726407,0.30367629830402565,7.953545983693868,8.881784197001252e-16,0.0,0.0,0.0,0.05263157894736842,0.9355052199847714,-0.04795915848807479
bi_wilshire_pct,current_regime,primary,h_60m,547,0.11617474937248952,-0.045669127328820995,0.009886668853550065,-4.619263374278214,-4.547011551356333,4.810348765590534e-06,0.46681457265781334,0.4838852107291326,10.428835957747314,0.0,0.4090909090909091,0.3090909090909091,0.4909090909090909,0.6181818181818182,0.9369318388514084,-0.04552650882367347
bi_wilshire_pct,current_regime,primary,h_120m,487,0.11360977965882611,-0.022168061485322434,0.007846868625879692,-2.825083806323727,-2.8157475900649693,0.0049216747087214964,0.2513008277368258,0.2869189325286752,8.789576594223215,0.0,0.0,0.0,0.0,0.05154639175257732,0.9395084902023917,-0.02211090310315125
bi_wilshire_pct,current_regime,robustness_spxtr_only,h_60m,401,0.10094432306502817,-0.05425550911160047,0.008856869059594671,-6.125811361389082,-7.2017060293557735,2.164430351613292e-09,0.6091356448488421,0.3873249315096995,7.951218254019836,8.881784197001252e-16,0.575,0.4625,0.6875,0.9,0.9517667909072813,-0.054013651386217484
bi_wilshire_pct,current_regime,robustness_spxtr_only,h_120m,341,0.09484214219124225,-0.0314588088012931,0.005119015494299961,-6.145480285481177,-10.752147775329384,2.237422147308507e-09,0.5017006723469026,0.3189894074416074,7.996802259811627,6.661338147750939e-16,0.0,0.0,0.0,0.07352941176470588,0.9551250356005213,-0.031332241101728574
bi_wilshire_pct,current_regime,robustness_shiller_only,h_60m,546,0.0798750937979846,-0.048317938696479525,0.007873592939745183,-6.136707735114798,-6.814059081443517,1.623933398409867e-09,0.5326413848626104,0.5878260617638069,11.125517017016238,0.0,0.5963302752293578,0.4954128440366973,0.6788990825688074,0.6605504587155964,0.9367542769875057,-0.04813788218638361
bi_wilshire_pct,current_regime,robustness_shiller_only,h_120m,486,0.08100206037190145,-0.023383562974616287,0.00602155431573385,-3.883310146936127,-4.166288326626785,0.0001173596077975904,0.33960544415199645,0.3872226692883932,9.271767674148931,0.0,0.010309278350515464,0.0,0.030927835051546393,0.05154639175257732,0.9395435493360302,-0.023311418465028384
bi_spx_proxy,long_run,primary,h_12m,882,0.12385555384385862,-0.009535655774407592,0.012134291423208463,-0.7858436427667601,-0.6616231569272633,0.4321706334281645,0.0057674362844261085,0.008911356872255971,2.693667043262453,0.0035335361417609956,0.3050847457627119,0.2456214689265537,0.3728813559322034,0.4011299435028249,0.991537880808271,-0.008942361710223095
bi_spx_proxy,long_run,primary,h_36m,858,0.11302465708307678,-0.010649979328591332,0.007150903678101632,-1.4893193654957197,-1.1821873721805067,0.13677162121536843,0.024494355281985847,0.03297492284220027,6.226057864341195,2.391586928496281e-10,0.09941520467836257,0.05847953216374269,0.14619883040935672,0.24561403508771928,0.9910118544197399,-0.010565907445705534
bi_spx_proxy,long_run,primary,h_60m,834,0.10821598302273598,-0.012098702358280942,0.00837586983370407,-1.4444711532641523,-1.182677037899557,0.14898296412502576,0.054351164194786694,0.06494677950407668,8.417563486947232,0.0,0.1377245508982036,0.08667664670658683,0.19760479041916168,0.19760479041916168,0.9913282437767922,-0.01195372592646275
bi_spx_proxy,long_run,primary,h_120m,774,0.10277854463034881,-0.016113277399767416,0.008916237665472887,-1.8071834785387388,-1.7566028591556657,0.07112285583037095,0.2044069713217911,0.22297696816976875,11.744707694765252,0.0,0.0064516129032258064,0.0,0.01935483870967742,0.4,0.9906785279504142,-0.016013412713542365
bi_spx_proxy,long_run,robustness_spxtr_only,h_60m,401,0.11220919507535786,-0.06983405732776941,0.03234284433791309,-2.1591810725783382,-1.7859301358493036,0.0314315287293118,0.26240329001401286,-0.5882065525906868,1.883145902178877,0.029840299004926907,0.3875,0.2809375,0.5,0.4875,0.9886184311777144,-0.069558605427381
