,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1999-07-31,156.4002780741199,128.46223077648855,140.14647626150287,43.82803599280543,1.309980030120945,1.3637475945461586,2716.70432155069,35.57972989225546
1999-08-31,156.4002780741199,126.9222177855184,139.26998067346847,41.93071215994047,1.309980030120945,1.2907313614373574,2605.2070692848597,34.07261713078062
1999-09-30,156.4002780741199,123.47484323739918,135.29358071331234,41.323451334715024,1.241839583571696,0.8717047439424981,2574.5905265485408,33.62593616159137
1999-10-31,181.5279314928866,128.41249898298054,140.65403173043586,40.55285439953988,1.241839583571696,1.0831067259836353,2534.5924753121285,33.058057482000976
1999-11-30,181.5279314928866,132.58075559045008,143.339289157909,43.20829071461392,1.241839583571696,1.093678127399727,2710.3816830065357,35.302268600579325
1999-12-31,181.5279314928866,142.50869580492576,151.6262288745151,44.197939761040566,1.3838237750635678,1.3328873413530071,2783.8016555555555,36.20874081324647
2000-01-31,188.80370967166255,135.1273811300686,142.44023488511095,43.77257814693801,1.3838237750635678,1.6365724285903904,2769.5527266143363,35.97391822176031
2000-02-29,188.80370967166255,138.00625704705,138.89776873633963,42.185635887917336,1.3838237750635678,0.9276403884815374,2682.3247127944637,34.793044162501985
2000-03-31,188.80370967166255,146.04366500108716,153.0758051103148,43.220748439965895,1.4670861738089171,0.18872067158253936,2762.562942742407,35.784605299578345
2000-04-30,177.22926660759663,135.03604987644206,145.1667981299374,43.52857428850775,1.4670861738089171,0.6240664456571916,2797.6107779334498,36.188810966069134
2000-05-31,177.22926660759663,130.17880545408607,141.63842460598306,41.96605050332432,1.4670861738089171,0.8681924862694883,2712.3550097959182,35.03777550296437
2000-06-30,177.22926660759663,135.83456796755368,145.02323051551255,42.781971567071466,1.3692691024073882,0.03212156972571778,2780.9018973897914,35.87390337455723
2000-07-31,176.6651337713634,132.06796019791497,141.68042360657014,42.75809361826961,1.3692691024073882,0.051993347353286534,2795.416011284722,36.01159738460383
2000-08-31,176.6651337713634,141.49400748463563,150.27032656418243,42.86956549441951,1.3692691024073882,0.08621175501657286,2819.0622322627314,36.26632698878309
2000-09-30,176.6651337713634,134.9028348170882,142.23889107263278,41.89800792488475,1.2884931605625354,-0.04118548435703717,2771.586699697755,35.60658725523772
2000-10-31,157.06988404468333,130.47266597460697,139.94215749058156,39.36969904420138,1.2884931605625354,-0.24830035876952872,2619.9724906034485,33.612559584964465
2000-11-30,157.06988404468333,117.37051778208732,128.73809106838598,38.78214245678478,1.2884931605625354,-0.3047333103888126,2595.676064847789,33.25510460631468
2000-12-31,157.06988404468333,119.34025263425556,129.28145500270253,37.274238004497214,1.1045074017275616,-0.8296273589091876,2508.3804414798856,32.09254831428958
2001-01-31,138.6811809596178,123.41236725576137,133.29653424820114,36.97886799702982,1.1045074017275616,-1.2764746816577395,2501.4248437607084,31.95959217548307
2001-02-28,138.6811809596178,111.6406418695094,120.99450565933965,35.834662651431294,1.1045074017275616,-1.2241630556454832,2435.7269613907847,31.07744778103798
