,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1932-10-31,,,,8.478606607689086,,2.346364206494501,175.55604661654135,7.5481183295209195
1932-11-30,,,,8.4633095671229,,1.760039656395188,175.14696875,7.562711793378311
1932-12-31,,,,8.257073999100681,,1.5039782977484517,170.7263354961832,7.404705073104442
1933-01-31,,,,8.72804616281353,,1.6428918367304437,180.23700600775192,7.851048902432882
1933-02-28,,,,7.826051751316598,,0.44540942271126127,161.38521161417324,7.059621970602954
1933-03-31,,,,7.874681322943169,,0.5794067483747298,162.1455152777778,7.122122784508717
1933-04-30,,,,8.723101646068113,,1.1512056792314347,179.3230498015873,7.90866477175002
1933-05-31,,,,11.249651251932445,,2.386699295498671,230.85565337301588,10.222235153550761
1933-06-30,,,,13.098875517269523,,2.2142372948650175,268.2867757874016,11.926496645498831
1933-07-31,,,,13.754304493874535,,-0.3789806399264011,281.1226902671756,12.547811804690735
1933-08-31,,,,12.999527050367739,,-2.271198665453797,265.08058958333334,11.880103387803116
1933-09-30,,,,12.922920614885994,,-3.062318186864001,262.84467083333334,11.827331177053855
1933-10-31,,,,11.696253568143696,,-4.63036654363116,237.25582291666672,10.71864426824555
1933-11-30,,,,12.011766193389937,,-5.1735037029522415,242.9698375,11.020114039927883
1933-12-31,,,,12.281801622601114,,-5.769653373493213,247.6901104166667,11.278689407966466
1934-01-31,,,,13.02511982833238,,-6.8830539497647045,261.8509291666667,11.970668424311041
1934-02-28,,,,13.926922904274297,,-8.81224646133365,279.1143887218045,12.810979000423691
1934-03-31,,,,13.254537629740085,,-10.035141628148795,264.8134748120301,12.203263603996191
1934-04-30,,,,13.518389284490091,,-9.915386546366122,269.25168947368417,12.45664396330858
1934-05-31,,,,12.181583235024021,,-10.754669105958746,241.88269906015037,11.233779060144476
1934-06-30,,,,12.28772648395243,,-10.667513003508116,243.2590608208955,11.342088696380344
1934-07-31,,,,11.741524229318248,,-7.851858147757367,231.75687182835821,10.847953866679417
1934-08-31,,,,11.315025981829054,,-7.425457116357492,222.70195708955222,10.46492187892263
1934-09-30,,,,10.90995408328885,,-9.29624444825761,214.12210147058826,10.10190437381621
1934-10-31,,,,11.108352605351731,,-8.40246221725203,217.4085935185185,10.297173627157193
1934-11-30,,,,11.448808690205706,,-8.162260507224289,223.48145925925925,10.62572936080122
1934-12-31,,,,11.639337566475891,,-7.289205753429147,226.61759589552238,10.815787546898349
1935-01-31,,,,11.495907968201605,,-8.939050469531509,223.28498419117648,10.687906556190514
1935-02-28,,,,11.087812159055568,,-9.248097271100676,214.95285072992704,10.311465113549298
1935-03-31,,,,10.398272404790031,,-9.857834269968007,201.30885018248176,9.670153063493935
1935-04-30,,,,11.104210207149523,,-10.009991702285493,214.82102463768115,10.33221449828998
1935-05-31,,,,11.985576683480103,,-9.359426741648118,231.69302989130435,11.154800545271529
1935-06-30,,,,12.539519324443894,,-7.4819266468112176,242.24085182481753,11.670672917950217
1935-07-31,,,,13.202137936511015,,-7.0933367378854495,254.92737864963507,12.293118200092344
1935-08-31,,,,14.105056846668958,,-6.620128572773093,272.1619056569343,13.1386888377992
1935-09-30,,,,14.418891702707436,,-4.9739732502156375,277.90674799270073,13.432862390963965
1935-10-31,,,,14.826232627114088,,-5.541283247044021,285.3271693430657,13.809494528234962
1935-11-30,,,,16.129605163251142,,-5.748668671957297,309.8745753623188,15.019149468616643
1935-12-31,,,,16.159192714615322,,-6.511835919818193,309.8745753623188,15.042678435751563
1936-01-31,,,,17.087359845997245,,-4.672867399616015,326.9842144927536,15.894657339223837
1936-02-29,,,,18.104536459517785,,-3.6009045193362557,345.7572907608696,16.82755534061381
1936-03-31,,,,18.660478203926022,,-2.7039194717936414,355.7014879562044,17.328595448259822
1936-04-30,,,,18.718999665151497,,-1.96002812838254,356.1802248175183,17.363149455045892
1936-05-31,,,,17.750192519328646,,-2.2491040312815653,337.2701187956205,16.445866477364905
1936-06-30,,,,18.39300106583134,,-3.5042776681612477,349.08416503623187,17.022013356984395
1936-07-31,,,,19.360464512319133,,-3.9600193408937647,367.0981805755396,17.89857725750427
1936-08-31,,,,19.62306016298376,,-4.618326142762118,371.7374630357143,18.121045348598095
1936-09-30,,,,19.862024243287635,,-4.554514580527673,375.95376696428576,18.319358755941632
1936-10-31,,,,20.913091852533114,,-4.298974742995659,395.6298519642857,19.266099029765464
1936-11-30,,,,21.49976534102415,,-3.4254889180867067,406.63909,19.78542611026998
1936-12-31,,,,21.12566354815543,,-3.5053544885816508,399.61191678571424,19.42357526763778
1937-01-31,,,,21.618741582953504,,-4.119529183820596,409.104415070922,19.862965737534367
1937-02-28,,,,22.244221552805154,,-3.999462584855177,421.1984625886525,20.42419864822136
1937-03-31,,,,22.04219701605057,,-5.526387880470238,417.77039630281695,20.22922250290083
1937-04-30,,,,20.55657945743285,,-6.594184594793147,390.081825,18.860060007365977
1937-05-31,,,,19.4741746865721,,-7.604494852853074,370.0652560763889,17.86384344782052
1937-06-30,,,,18.711659960364955,,-7.0620873770729515,356.1735756944445,17.163057257517366
1937-07-31,,,,19.64672327960762,,-6.78645405027465,374.75026258620693,18.024663862835737
1937-08-31,,,,19.806982577380957,,-6.010153161826177,378.59501482758617,18.17454602176781
1937-09-30,,,,16.847882862705802,,-7.621178154670693,322.76865462328766,15.463242915073995
1937-10-31,,,,14.361659574753356,,-8.658697879601448,275.8245705479452,13.190044645496853
1937-11-30,,,,13.158119166486063,,-8.591298943077256,253.301324137931,12.092611944323615
1937-12-31,,,,13.008483033706135,,-7.974434276203118,250.9611767361111,11.96305487393422
1938-01-31,,,,13.511461918562416,,-5.550343482137615,261.19310017605636,12.436665657887378
1938-02-28,,,,13.263076236460867,,-4.996395626762284,256.7659319148936,12.21617977977771
1938-03-31,,,,12.377286234697685,,-4.848423438890729,239.78774982269508,11.40446220412136
1938-04-30,,,,11.789517720684179,,-5.272810475150006,228.39962517605636,10.865318864557866
1938-05-31,,,,11.992275930545684,,-3.762034058630075,232.11268120567377,11.050206078234309
1938-06-30,,,,12.288966307788122,,-3.577380923294177,237.46197145390076,11.320194651342069
1938-07-31,,,,14.770328017492064,,-1.5517096565343556,284.6752723404256,13.59723748072908
1938-08-31,,,,14.903588512604362,,-1.5078393878687022,286.30331719858157,13.709431341179906
1938-09-30,,,,14.282330508639966,,-1.1503342426794099,273.2789583333333,13.126800387473537
1938-10-31,,,,16.06114764333344,,0.2933839017945612,305.91627392857146,14.740925926675613
1938-11-30,,,,16.14957180071551,,-0.3505054460255037,306.15051303571425,14.799924680166434
1938-12-31,,,,15.756484438994002,,-1.1921489461802377,297.2494269642857,14.416688914359426
1939-01-31,,,,15.599634410919277,,-2.6419559351765955,292.7988839285714,14.2417756103594
1939-02-28,,,,15.66469692895477,,-2.6178416267638642,292.54610791366906,14.265448568040929
1939-03-31,,,,15.72922374321423,,-2.6041531078819093,292.3101836330936,14.285726484171184
1939-04-30,,,,13.9169945798124,,-2.046058025805122,257.3574885869565,12.602590761708234
